Sample_id,Plot_id,Site_id,Survey_Date,Treatment,Subplot,Patch,PCT_Number,PCT_Name,Esstablishment,Dbh_cm,Tree sp.,dist_Tree_m,Foliage_Cover_<0.5,Logs_<0.5,Litter_<0.5,Compost,Cryptogam,Rock,Bare soil,Shrub_>0.5,Tree>0.5,Other,
61DT,61,Mt Thorley Warkworth,3/04/2019,Reference,D,T,3431,Central Hunter Ironbark Grassy Woodland,NA,23,E.crebra,,3,0,87,0,0,0,10,0,40,0,
84AO,84,Bulga,14/05/2019,Reference,A,O,3431,Central Hunter Ironbark Grassy Woodland,NA,,,0.5,10,0,80,0,0,0,10,0,0,0,
84AT,84,Bulga,14/05/2019,Reference,A,T,3431,Central Hunter Ironbark Grassy Woodland,NA,10,E.crebra,,5,0,90,0,0,0,5,0,20,0,
84BO,84,Bulga,14/05/2019,Reference,B,O,3431,Central Hunter Ironbark Grassy Woodland,NA,,,0.5,10,0,85,0,0,0,5,0,0,0,
84BT,84,Bulga,14/05/2019,Reference,B,T,3431,Central Hunter Ironbark Grassy Woodland,NA,8,E.crebra,,10,0,85,0,0,0,5,0,40,0,
84CO,84,Bulga,14/05/2019,Reference,C,O,3431,Central Hunter Ironbark Grassy Woodland,NA,,,2,10,0,78,0,0,2,10,0,20,0,
84CT,84,Bulga,14/05/2019,Reference,C,T,3431,Central Hunter Ironbark Grassy Woodland,NA,17,E.crebra,,5,0,90,0,0,0,5,0,20,0,
84DO,84,Bulga,14/05/2019,Reference,D,O,3431,Central Hunter Ironbark Grassy Woodland,NA,,,1,10,0,80,0,0,0,10,0,0,0,
84DT,84,Bulga,14/05/2019,Reference,D,T,3431,Central Hunter Ironbark Grassy Woodland,NA,9,E.crebra,,10,0,70,0,0,0,20,0,30,0,
94AO,94,Bulga,16/05/2019,Reference,A,O,3431,Central Hunter Ironbark Grassy Woodland,NA,,,2,5,0,90,0,0,0,5,0,0,0,
